KOMMGROUPKODE, KOMMKODE,KOMNAVN,VALUE,REGION
1, 165,Albertslund,11.6,Region Hovedstaden
Allerød,8.1,Region Hovedstaden
1,151,Ballerup,8.3,Region Hovedstaden
Brøndby,7.8,Region Hovedstaden
Egedal,6.5,Region Hovedstaden
Fredensborg,8.1,Region Hovedstaden
Frederiksberg,6.9,Region Hovedstaden
Frederikssund,9.1,Region Hovedstaden
Furesø,8.6,Region Hovedstaden
Gentofte,6.8,Region Hovedstaden
Gladsaxe,8.5,Region Hovedstaden
1,161,Glostrup,9.5,Region Hovedstaden
Gribskov,6.4,Region Hovedstaden
Halsnæs,10.2,Region Hovedstaden
Helsingør,7.6,Region Hovedstaden
1,163,Herlev,6.9,Region Hovedstaden
Hillerød,10.3,Region Hovedstaden
Hvidovre,7.2,Region Hovedstaden
Høje Taastrup,8.6,Region Hovedstaden
Hørsholm,11.8,Region Hovedstaden
København,6.5,Region Hovedstaden
Lyngby-Taarbæk,9.6,Region Hovedstaden
Rudersdal,6.4,Region Hovedstaden
1,175,Rødovre,7.5,Region Hovedstaden
Dragør,6.8,Region Hovedstaden
Tårnby,5.2,Region Hovedstaden
Ishøj,12.4,Region Hovedstaden
1,187,Vallensbæk,12.4,Region Hovedstaden
Faxe,8.1,Region Sjælland
Greve,9.9,Region Sjælland
Guldborgsund,8.2,Region Sjælland
Holbæk,7.0,Region Sjælland
Kalundborg,7.2,Region Sjælland
Køge,8.5,Region Sjælland
Lejre,10.2,Region Sjælland
Lolland,6.7,Region Sjælland
Næstved,7.0,Region Sjælland
Odsherred,10.9,Region Sjælland
Ringsted,8.1,Region Sjælland
Roskilde,8.4,Region Sjælland
Slagelse,6.5,Region Sjælland
Solrød,10.8,Region Sjælland
Sorø,10.0,Region Sjælland
Stevns,6.9,Region Sjælland
Vordingborg,10.3,Region Sjælland
Bornholm,10.1,Region Hovedstaden
Assens,9.0,Region Syddanmark
Faaborg-Midtfyn,9.3,Region Syddanmark
Kerteminde,6.1,Region Syddanmark
Langeland,6.3,Region Syddanmark
Nordfyns,9.9,Region Syddanmark
Nyborg,10.9,Region Syddanmark
Odense,7.3,Region Syddanmark
Svendborg,10.2,Region Syddanmark
Ærø,12.5,Region Syddanmark
Aabenraa,11.4,Region Syddanmark
Billund,3.6,Region Syddanmark
Esbjerg/Fanø,6.3,Region Syddanmark
Esbjerg,6.4,Region Syddanmark
Fanø,0.0,Region Syddanmark
Fredericia,9.3,Region Syddanmark
Haderslev,8.3,Region Syddanmark
Kolding,9.0,Region Syddanmark
Middelfart,6.5,Region Syddanmark
Sønderborg,10.5,Region Syddanmark
Tønder,6.4,Region Syddanmark
Varde,8.1,Region Syddanmark
Vejen,8.3,Region Syddanmark
Vejle,10.9,Region Syddanmark
Aarhus,7.3,Region Midtjylland
Favrskov,15.0,Region Midtjylland
Hedensted,16.8,Region Midtjylland
Horsens,8.0,Region Midtjylland
Norddjurs,5.4,Region Midtjylland
Odder,8.3,Region Midtjylland
Randers,6.6,Region Midtjylland
Samsø,25.8,Region Midtjylland
Silkeborg,10.8,Region Midtjylland
Skanderborg,9.4,Region Midtjylland
Syddjurs,8.3,Region Midtjylland
Herning,12.1,Region Midtjylland
Holstebro,8.9,Region Midtjylland
Ikast-Brande,8.8,Region Midtjylland
Lemvig,9.1,Region Midtjylland
Ringkøbing-Skjern,9.4,Region Midtjylland
Skive,6.4,Region Midtjylland
Struer,7.7,Region Midtjylland
Viborg,9.5,Region Midtjylland
Aalborg,6.3,Region Nordjylland
Brønderslev,8.0,Region Nordjylland
Frederikshavn,10.6,Region Nordjylland
Læsø,12.5,Region Nordjylland
Hjørring,9.4,Region Nordjylland
Jammerbugt,11.6,Region Nordjylland
Mariagerfjord,9.6,Region Nordjylland
Morsø,9.4,Region Nordjylland
Rebild,14.9,Region Nordjylland
Thisted,7.1,Region Nordjylland
Vesthimmerlands,8.2,Region Nordjylland
Region Hovedstaden,7.4,Region Hovedstaden
Region Sjælland,7.9,Region Sjælland
Region Syddanmark,8.4,Region Syddanmark
Region Midtjylland,8.5,Region Midtjylland
Region Nordjylland,8.1,Region Nordjylland
Hele landet,7.9,Hele landet
